image_hash,label,score,reason,classifier_version,threshold,fast_mode,turbo_mode,flag_uncertain
718cd3431b3562ff0907c08a849c9eebb16a6ae4,normal,0.123472,tatr_detected_table_no_box_no_validation,v69,0.8500,0,0,0
f98b690eecc3f1c679fc4ba6ef2c36bfb0173a07,normal,0.604467,tatr_structure_verified_low_detector_score_table_guarded_threshold,v69,0.8500,0,0,0
f2b06257c3420d6b2f60bc6d7994a7d7d0e823e0,normal,0.341608,tatr_detected_table_no_box_no_validation,v69,0.8500,0,0,0
21e726498450c95c3cb5738155130ba46ffff625,normal,0.472902,tatr_detected_table_no_box_no_validation,v69,0.8500,0,0,0
789c55833890550f18129b51c88295214e4f76f5,normal,0.722824,tatr_detected_table_no_box_no_validation,v69,0.8500,0,0,0
e9f4fad0462a1aa793a751a1a697b5f6806e0843,normal,0.295226,tatr_structure_verified_low_detector_score_table_guarded_threshold,v69,0.8500,0,0,0
9af7c85b0ec2e7ed264c9d1d98b34b261770e064,normal,0.441304,tatr_detected_table_no_box_no_validation,v69,0.8500,0,0,0
3b2fb2de5096d923d86f69be3476985a3a7bf4d7,normal,0.307649,tatr_detected_table_no_box_no_validation,v69,0.8500,0,0,0
59b4e11b3ff5ff52126ee797fc785a7a38e5e76e,normal,0.000000,tatr_image_too_small,v69,0.8500,0,0,0
6cef51feb8e63ed2e1afd677fe5e1f4b4fdfa23d,normal,0.239632,tatr_structure_verified_low_detector_score_table_guarded_threshold,v69,0.8500,0,0,0
e6e97eaf26897b2db4af1edec9f4bc12895df8a0,normal,0.069209,tatr_detected_table_no_box_no_validation,v69,0.8500,0,0,0
ff02b3c7200f2c821ca1d42719ae2989af4dc265,normal,0.519688,tatr_detected_table_no_box_no_validation,v69,0.8500,0,0,0
8b8056c07a804b3c607437bcee556c45c1969f76,normal,0.307306,tatr_structure_verified_low_detector_score_table_guarded_threshold,v69,0.8500,0,0,0
e01f8be74f218b37b35c3c29748590dbfbfdb1d1,normal,0.149922,tatr_detected_table_no_box_no_validation,v69,0.8500,0,0,0
114916a77f223f1848c1b3632621feb87657894d,normal,0.746419,tatr_structure_verified_low_detector_score_table_guarded_threshold,v69,0.8500,0,0,0
9c074755846b7ad5e0d7124aaa6b4a4617129cc0,normal,0.311437,tatr_detected_table_no_box_no_validation,v69,0.8500,0,0,0
df7a52bdc947df6a6bc67dd78a9890a601caf6d6,normal,0.239873,tatr_detected_table_no_box_no_validation,v69,0.8500,0,0,0
